FB/25/07/2017 Bravo/7.15€
29/07/2017 Bravo/HB/5.87€
FB/29/01/2017 Bravo/5.45€
BB/10/08/2017 Alpha/5.78€
09/03/2017 Delta/FB/8.8€
FB/30/07/2017 Alpha/13.97€
HB/02/12/2017 Delta/7.01€
27/03/2017 Alpha/SA/8.52€
SA/14/05/2017 Aida/13.33€
10/08/2017 Alpha/AI/7.2€
BB/05/11/2017 Bravo/11.92€
SA/27/11/2017 Delta/14.99€
08/09/2017 Delta/FB/5.4€
SA/02/03/2017 Bravo/11.52€
FB/29/02/2017 Bravo/12.35€
03/07/2017 Aida/HB/8.62€
AI/07/05/2017 Charlie/14.73€
23/10/2017 Aida/HB/7.84€
HB/20/06/2017 Bravo/5.48€
SA/28/09/2017 Bravo/7.86€
08/10/2017 Alpha/HB/5.98€
BB/16/09/2017 Bravo/12.11€
01/03/2017 Bravo/AI/13.54€
BB/06/05/2017 Alpha/6.15€
HB/27/03/2017 Charlie/8.87€
30/08/2017 Alpha/HB/5.26€
AI/08/04/2017 Delta/13.67€
FB/07/12/2017 Aida/11.92€
01/03/2017 Charlie/BB/8.05€
HB/06/10/2017 Aida/13.25€
03/01/2017 Bravo/SA/8.08€
FB/27/07/2017 Bravo/8.6€
AI/06/10/2017 Aida/13.24€
23/11/2017 Bravo/AI/6.99€
BB/22/04/2017 Bravo/13.96€
BB/16/06/2017 Aida/14.64€
10/09/2017 Alpha/BB/9.11€
BB/24/03/2017 Aida/12.44€
26/05/2017 Delta/FB/13.49€
FB/29/09/2017 Alpha/13.47€
HB/28/11/2017 Charlie/5.34€
26/05/2017 Delta/BB/10.52€
BB/22/02/2017 Bravo/13.86€
AI/17/09/2017 Bravo/13.54€
27/12/2017 Bravo/AI/6.64€
FB/02/09/2017 Delta/7.17€
03/12/2017 Delta/AI/7.25€
BB/05/08/2017 Alpha/8.26€
HB/24/01/2017 Alpha/12.69€
01/11/2017 Aida/FB/13.34€
SA/03/08/2017 Aida/10.87€
FB/03/09/2017 Delta/6.09€
15/10/2017 Alpha/BB/8.16€
AI/23/01/2017 Bravo/14.96€
16/07/2017 Aida/FB/6.88€
FB/06/01/2017 Aida/10.48€
SA/16/03/2017 Alpha/12.77€
29/01/2017 Charlie/HB/12.95€
FB/17/06/2017 Aida/12.49€
SA/26/02/2017 Alpha/9.84€
26/11/2017 Aida/HB/11.17€
SA/20/12/2017 Charlie/13.28€
28/11/2017 Delta/AI/9.87€
HB/26/10/2017 Delta/7.61€
FB/29/12/2017 Charlie/13.08€
14/08/2017 Bravo/AI/6.86€
FB/25/06/2017 Charlie/6.21€
HB/19/08/2017 Aida/12.25€
23/01/2017 Delta/SA/13.16€
AI/14/03/2017 Aida/9.65€
01/08/2017 Charlie/SA/13.72€
HB/28/07/2017 Delta/7.17€
HB/23/03/2017 Alpha/11.12€
08/06/2017 Bravo/BB/12.58€
SA/21/04/2017 Aida/9.55€
FB/04/01/2017 Alpha/10.83€
28/01/2017 Bravo/BB/11.64€
BB/29/08/2017 Charlie/11.58€
18/09/2017 Charlie/SA/5.92€
HB/02/01/2017 Alpha/6.65€
HB/22/08/2017 Charlie/14.4€
04/04/2017 Aida/HB/7.58€
SA/27/10/2017 Bravo/10€
HB/04/02/2017 Charlie/13.08€
03/07/2017 Charlie/SA/14.1€
HB/27/10/2017 Delta/6.54€
11/10/2017 Delta/AI/13.99€
BB/03/02/2017 Bravo/13.56€
HB/17/12/2017 Charlie/10.41€
24/10/2017 Aida/BB/9.39€
BB/06/07/2017 Alpha/5.05€
FB/11/07/2017 Delta/6.5€
02/05/2017 Delta/AI/8.04€
AI/30/07/2017 Charlie/12.06€
03/07/2017 Delta/FB/5.4€
BB/22/06/2017 Bravo/5.37€
SA/02/12/2017 Alpha/6.66€
01/10/2017 Bravo/FB/5.48€
HB/10/07/2017 Bravo/12.22€
FB/18/02/2017 Charlie/8.6€
17/04/2017 Aida/SA/10.97€
FB/01/09/2017 Charlie/5.61€
17/10/2017 Charlie/FB/7.69€
FB/22/10/2017 Delta/9.62€
SA/29/06/2017 Charlie/10.64€
17/12/2017 Charlie/FB/13.39€
BB/01/04/2017 Charlie/9€
AI/17/09/2017 Charlie/6.87€
09/01/2017 Delta/FB/10.38€
SA/22/11/2017 Charlie/14.73€
14/05/2017 Charlie/HB/8.33€
FB/26/11/2017 Bravo/13.79€
BB/01/01/2017 Aida/9.86€
04/02/2017 Delta/SA/10.58€
AI/03/09/2017 Delta/12.88€
BB/01/11/2017 Delta/8.81€
03/04/2017 Alpha/SA/13.78€
BB/26/11/2017 Bravo/6.88€
18/11/2017 Aida/SA/14.84€
AI/26/07/2017 Alpha/5.37€
BB/29/08/2017 Aida/11.81€
16/12/2017 Bravo/FB/14.58€
BB/07/07/2017 Bravo/11.38€
BB/22/05/2017 Delta/11.93€
20/10/2017 Delta/HB/8.65€
FB/06/07/2017 Delta/9.59€
20/02/2017 Aida/HB/14.7€
SA/14/06/2017 Bravo/11.89€
BB/17/11/2017 Bravo/14€
14/04/2017 Alpha/AI/12.86€
SA/06/06/2017 Alpha/11.98€
SA/13/02/2017 Bravo/13.71€
22/06/2017 Bravo/SA/12.52€
HB/14/06/2017 Bravo/10.34€
14/11/2017 Delta/HB/5.41€
AI/13/05/2017 Alpha/10.82€
BB/17/07/2017 Aida/13.92€
22/10/2017 Aida/AI/12.95€
BB/23/03/2017 Alpha/12.19€
SA/26/09/2017 Alpha/11.67€
02/11/2017 Charlie/BB/12.87€
SA/12/07/2017 Alpha/6.63€
22/10/2017 Alpha/AI/14.5€
BB/16/01/2017 Alpha/9.68€
FB/22/05/2017 Bravo/9.07€
01/04/2017 Bravo/SA/12.33€
BB/19/08/2017 Aida/9.51€
BB/24/12/2017 Alpha/13.3€
14/10/2017 Bravo/BB/7.2€
BB/22/05/2017 Charlie/5.97€
06/10/2017 Bravo/BB/9.43€
HB/15/04/2017 Alpha/5.95€
AI/23/03/2017 Alpha/6.95€
04/07/2017 Bravo/FB/8.51€
SA/19/05/2017 Alpha/11.44€
SA/29/08/2017 Alpha/6.09€
18/02/2017 Bravo/SA/13.02€
FB/09/11/2017 Bravo/5.86€
19/07/2017 Delta/FB/7.73€
SA/02/10/2017 Delta/7.15€
AI/14/08/2017 Charlie/5.07€
24/03/2017 Delta/AI/8.98€
BB/13/03/2017 Delta/5.48€
FB/04/05/2017 Charlie/7.57€
08/06/2017 Alpha/BB/7.82€
HB/23/08/2017 Delta/13.81€
23/09/2017 Charlie/BB/6.89€
SA/30/05/2017 Aida/10.78€
BB/16/07/2017 Alpha/10.93€
23/01/2017 Aida/FB/11.26€
AI/25/12/2017 Charlie/9.13€
BB/01/02/2017 Bravo/5.21€
07/07/2017 Delta/SA/9.11€
SA/27/07/2017 Aida/7.28€
11/03/2017 Aida/FB/14.41€
AI/02/08/2017 Bravo/14.32€
AI/23/08/2017 Bravo/12.03€
23/11/2017 Aida/AI/12.83€
BB/17/04/2017 Aida/9.89€
BB/13/06/2017 Alpha/6.52€
06/04/2017 Delta/HB/14.38€
HB/14/04/2017 Aida/13.82€
05/08/2017 Bravo/FB/7.78€
HB/30/06/2017 Charlie/5.28€
SA/28/08/2017 Bravo/5.85€
18/06/2017 Bravo/BB/11.2€
